Isolate_Id	PB2 Segment_Id	PB1 Segment_Id	PA Segment_Id	HA Segment_Id	Location	Collection_Date	Host_Age	Host_Age_Unit
EPI_ISL_269838	EPI1024323 | A_ENG_70320041_2017_PB2	EPI1024324 | A_ENG_70320041_2017_PB1	EPI1024322 | A_ENG_70320041_2017_PA	EPI1024326 | A_ENG_70320041_2017_HA	Europe / United Kingdom / SUFFOLK	2017-01-16		Y
EPI_ISL_269836	EPI1024307 | A_ENG_70320035_2017_PB2	EPI1024308 | A_ENG_70320035_2017_PB1	EPI1024306 | A_ENG_70320035_2017_PA	EPI1024310 | A_ENG_70320035_2017_HA	Europe / United Kingdom / MINEHEAD	2017-01-17		Y
EPI_ISL_269835	EPI1024299 | A_ENG_70300018_2017_PB2	EPI1024300 | A_ENG_70300018_2017_PB1	EPI1024298 | A_ENG_70300018_2017_PA	EPI1024302 | A_ENG_70300018_2017_HA	Europe / United Kingdom / GUILDFORD	2017-01-16		Y
EPI_ISL_269827	EPI1024235 | A_ENG_70240083_2017_PB2	EPI1024236 | A_ENG_70240083_2017_PB1	EPI1024234 | A_ENG_70240083_2017_PA	EPI1024238 | A_ENG_70240083_2017_HA	Europe / United Kingdom / WINDERMERE	2017-01-09		Y
EPI_ISL_269823	EPI1024203 | A_ENG_70180006_2017_PB2	EPI1024204 | A_ENG_70180006_2017_PB1	EPI1024202 | A_ENG_70180006_2017_PA	EPI1024206 | A_ENG_70180006_2017_HA	Europe / United Kingdom / MINEHEAD	2017-01-06		Y
EPI_ISL_269814	EPI1024131 | A_ENG_70120007_2017_PB2	EPI1024132 | A_ENG_70120007_2017_PB1	EPI1024130 | A_ENG_70120007_2017_PA	EPI1024134 | A_ENG_70120007_2017_HA	Europe / United Kingdom / GUILDFORD	2017-01-03		Y
EPI_ISL_269373				EPI1022232 | 17S1134.4	Oceania / Australia / Tasmania / Somerset	2017-01-10		Y
EPI_ISL_269356				EPI1022181 | 17S1113.4	Oceania / Australia / Queensland / Logan	2017-01-15		Y
EPI_ISL_269355				EPI1022178 | 17S1112.4	Oceania / Australia / Queensland / Brisbane	2017-01-20		Y
EPI_ISL_269352				EPI1022169 | 17S1109.4	Oceania / Australia / Queensland / Brisbane	2017-01-04		Y
EPI_ISL_269348				EPI1022157 | 17S1105.4	Oceania / Australia / Queensland / Sunshine Coast	2017-01-09		Y
EPI_ISL_269347				EPI1022154 | 17S1104.4	Oceania / Australia / Queensland / Brisbane	2017-01-07		Y
EPI_ISL_269327				EPI1022094 | 17S1148.4	Oceania / Australia / Northern Territory / Tiwi	2017-01-19		Y
EPI_ISL_269326				EPI1022091 | 17S1147.4	Oceania / Australia / Northern Territory / Bellamack	2017-01-18		Y
EPI_ISL_269325				EPI1022088 | 17S1146.4	Oceania / Australia / Northern Territory / Tiwi	2017-01-06		Y
EPI_ISL_269317				EPI1022064 | 17S1138.4	Oceania / Australia / Western Australia / Carlisle	2017-01-08		Y
EPI_ISL_269312				EPI1022049 | 17S1086.4	Oceania / Australia / New South Wales / Maitland	2017-01-11		Y
EPI_ISL_269306				EPI1022031 | 17S1080.4	Oceania / Australia / New South Wales / Lemon Tree Passage	2017-01-09		Y
EPI_ISL_269305				EPI1022028 | 17S1079.4	Oceania / Australia / South Australia / Port Lincoln	2017-01-18		Y
EPI_ISL_269304				EPI1022025 | 17S1078.4	Oceania / Australia / South Australia / Modbury	2017-01-15		Y
EPI_ISL_269303				EPI1022022 | 17S1077.4	Oceania / Australia / South Australia / Munno Para	2017-01-12		Y
EPI_ISL_269301				EPI1022016 | 17S1075.4	Oceania / Australia / South Australia / St Marys	2017-01-14		Y
